X,Y,OBJECTID,NAME,ADDRESS,ORIG_ADDRE,PIN,LANDNO,ORDINANCE,EFF_DATE,SE_ANNO_CAD_DATA,PHOTO,DOCUMENT
1268790.87506388,226138.749947563,2647,J.S. Graham Store/Doyle Building,119 Pine St,119 Pine St,1975700605,117,113987,1988/05/31 00:00:00+00,,GrahamDoyle1DON.jpg,DesRptJSGrahamStore-DoyleBldg.pdf
1269880.75018072,225951.796909392,2648,Great Northern Building,1404 4th Ave,1404 4th Ave,1975700290,121,114768,1989/10/16 00:00:00+00,,GreatNorthern2DON.jpg,DesRpt_Great_Northern.pdf
1269682.49992105,225893.73436147,2649,1411 4th Ave Building,1411 4th Ave,1411 4th Ave,1975700345,122,114771,1989/10/16 00:00:00+00,,14114th2DON.jpg,fourth-ave-411-designation.pdf
1268778.37508889,225292.874998897,2650,84 Union Building/U.S. Immigration Building,84 Union St,84 Union St,1976200160,129,113990,1988/05/31 00:00:00+00,,USImmigrationBldg1DON.jpg,us-immigration-building-designation.pdf
1268943.00008772,224606.812394649,2651,Olympic Warehouse and Cold Storage Building,1205 Western Ave,1203-7 Western Ave,7666202480,134,113429,1987/05/11 00:00:00+00,,OlympicWarehouse1DON.jpg,olympic-warehouse-designation.pdf
1269642.6250008,224448.468879312,2652,Holyoke Building,107 Spring St,107 Spring St,0939000515,138,107521,1978/07/17 00:00:00+00,,HolyokeBldg3DON.jpg,holyoke-building-designation.pdf
1270013.74991472,223955.281217396,2653,Exchange Building,821 2nd Ave,821 2nd Ave,0939000335,148,115038,1990/04/16 00:00:00+00,,Exchange1DON.jpg,exchange-building-nomination.pdf
1270096.00007831,223935.531256899,2654,Puget Sound Bank (Bank of California),815 2nd Ave,815 2nd Ave,0939000345,149,113602,1987/09/08 00:00:00+00,,BankofCABldg2DON.jpg,bank-of-california-designation.pdf
1269810.49999315,223776.359331146,2655,Colman Building,810 1st Ave,801-821 1st Ave,8591400005,152,114993,1990/03/19 00:00:00+00,,Colman3DON.jpg,colman-building-designation.pdf
1274963.0001868,228565.609267056,2656,St Nicholas Russian Orthodox Cathedral,1714 13th Ave,1714 13th Ave,6003000910,89,106098,1976/12/20 00:00:00+00,,StNicholasCathedral2DON.jpg,st-nicholas-cathedral-nomination-data-sheet.pdf
1275276.75021547,227818.577952728,2657,1st African Methodist Episcopal Church,1522 14th Ave,1522 14th Ave,0222000010,94,111928,1984/09/24 00:00:00+00,,FirstAfricanChurch6DON.jpg,first-african-methodist-designation-nomination.pdf
1272302.37493064,227321.812542066,2658,Summit School/Northwest School,1415 Summit Ave,1415 Summit Ave,8804901000,96,114994,1990/03/19 00:00:00+00,,SummitNWSchool1DON.jpg,DesRpt_Summit_School.pdf 
1272445.62497222,226685.531334311,2659,Stimson/Green House,1204 Minor Ave,1204 Minor Ave,1978200805,109,106068,1977/12/21 00:00:00+00,,StimsonGreenMansion2DON.jpg,stimson-green-house-nomination-data-sheet.pdf
1270530.24986598,224485.98422423,2660,YMCA Central Branch:  South Building,909 4th Ave,909 4th Ave,0942000350,139,116056,1992/01/27 00:00:00+00,,YMCACentral2DON.jpg,ymca-building-designation.pdf
1272359.00014547,224570.203215897,2661,U.S. Assay Office/German House,613 9th Ave,613 9th Ave,8590400796,140,111712,1984/05/29 00:00:00+00,,GermanHouse2DON.jpg,us-assay-german-house-designation.pdf
1270740.25010213,223855.437585056,2662,Arctic Building,306 Cherry St,306 Cherry St,0942000610,150,116969,1993/12/13 00:00:00+00,,Arctic2DON.jpg,arctic-building-designation.pdf
1270531.49986348,223767.375097141,2663,Dexter Horton Building,710 2nd Ave,710 2nd Ave,0939000260,153,116970,1993/12/13 00:00:00+00,,DexterHortonBldg4DON.jpg,dexter-horton-nomination.pdf
1276555.49995455,225949.531165898,2664,Immaculate Conception Church,820 18th Ave,820 18th Ave,2254502165,123,106142,1977/01/10 00:00:00+00,,ImacConcepChurch1DON.jpg,immaculate-conception-nomination-data-sheet.pdf
